car,move
E,-1
A,1
A,1
J,-1
J,-1
E,-1
T,1
T,1
Q,-1
U,-1
E,-1
F,-1
F,-1
F,-1
E,1
E,1
J,1
K,1
K,1
K,1
J,-1
E,-1
K,1
K,1
S,1
S,1
Q,-1
E,1
J,1
S,1
S,1
S,1
J,-1
E,-1
L,-1
U,-1
L,-1
M,-1
V,1
V,1
R,-1
R,-1
E,1
J,1
J,1
T,1
T,1
M,-1
M,-1
L,1
L,1
U,1
R,-1
N,-1
J,1
L,1
L,1
M,1
M,1
S,-1
F,-1
L,1
J,-1
L,1
N,1
R,1
B,-1
A,1
L,1
F,1
S,1
T,-1
T,-1
J,-1
J,-1
E,-1
R,-1
N,-1
X,-1
X,-1
H,-1
C,-1
A,1
A,1
A,1
B,1
H,-1
I,-1
P,1
P,1
W,1
W,1
E,1
E,1
G,-1
G,-1
G,-1
E,-1
E,-1
I,-1
I,-1
C,-1
D,-1
P,1
W,1
O,1
H,-1
H,-1
H,-1
O,-1
W,-1
X,1
V,1
X,1
N,1
R,1
X,1
